Lake,Sample,genus,size,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,daphnia,1,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,daphnia,1.1,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,cyclopoida,0.8,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,daphnia,1.1,,
Lost,ZP8,daphnia,1.1,,
Lost,ZP8,daphnia,0.8,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,daphnia,1.1,,
Lost,ZP8,daphnia,1.2,,
Lost,ZP8,calanoid,0.6,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,calanoid,1.4,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,cyclopoida,1.1,,
Lost,ZP8,bosmina,0.5,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,daphnia,0.8,,
Lost,ZP8,calanoid,0.6,,
Lost,ZP8,daphnia,1.1,,
Lost,ZP8,cyclopoida,1,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,daphnia,0.7,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,daphnia,0.8,,
Lost,ZP8,daphnia,0.8,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,calanoid,0.9,,
Lost,ZP8,daphnia,0.9,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,daphnia,1.1,,
Lost,ZP8,daphnia,1,,
Lost,ZP8,daphnia,0.8,,
Lost,ZP8,daphnia,0.9,,
Lost,ZP8,calanoid,2,,
Lost,ZP8,daphnia,1.1,,
Lost,ZP8,calanoid,1.6,,
Lost,ZP8,daphnia,1,,
Lost,ZP8,daphnia,0.8,,
Lost,ZP8,daphnia,0.8,,
Lost,ZP8,daphnia,0.9,,
Lost,ZP8,daphnia,1,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,daphnia,0.7,,
Lost,ZP8,bosmina,0.5,,
Lost,ZP8,bosmina,0.5,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,calanoid,1,,
Lost,ZP8,calanoid,1.2,,
Lost,ZP8,daphnia,1,,
Lost,ZP8,daphnia,1,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,cyclopoida,0.6,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,calanoid,0.6,,
Lost,ZP8,cyclopoida,0.7,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,daphnia,1.2,,
Lost,ZP8,daphnia,1.1,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,calanoid,0.5,,
Lost,ZP8,daphnia,0.6,,
